Property ID,Locality name,Postal code,price,Type of property,Subtype of property,Number of rooms,Surface of the plot,Living area,kitchen,furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of builing
20236298,Hoboken,2660,€249900,apartment,,2,,97 m²,1,,,3 m²,,2,,As new
20234084,Watermael-boitsfort,1170,€550000,apartment,,4,,143 m²,1,0,,18 m²,,2,0,Good
20236358,Temse,9140,€290000,apartment,,2,,83 m²,1,0,,22 m²,84 m²,3,0,Good
20101550,Blaugies,7370,€120000,house,,2,609 m²,155 m²,1,,,,,4,,To renovate
20236360,Temse,9140,€259000,apartment,,2,,77 m²,1,0,,14 m²,,3,0,Good
20236359,Temse,9140,€265000,apartment,,1,,80 m²,1,0,,9 m²,,3,0,Good
20236357,Temse,9140,€398000,apartment,,3,,128 m²,1,0,,23 m²,,3,0,Good
20236362,Jette,1090,€169000,apartment,,1,,74 m²,1,,,7 m²,,4,,
20236289,Antwerpen-2018,2018,€375000,apartment,,2,,100 m²,1,,,20 m²,,,,Good
20233894,Deinze,9800,,new-real-estate-project-houses,,,,,1,,,,,,,
20236354,Bissegem,8501,€338990,house,,3,336 m²,207 m²,1,,,,,2,,As new
11406077,Erpe-mere,9420,€165000,house,,4,305 m²,140 m²,1,,,,152 m²,3,,To renovate
20236346,Colfontaine,7340,€110000,house,,5,,180 m²,1,0,,70 m²,,2,,To renovate
20236341,Wommelgem,2160,€449000,house,,4,510 m²,207 m²,1,,,,168 m²,3,,To renovate
20236342,Malonne,5020,,house,,,,,1,,,,,,,
20236343,Vorselaar,2290,€345000,house,,4,498 m²,164 m²,1,0,,,,4,0,
20089427,Tournai,7500,€285000,house,,4,,229 m²,1,,,,,,,
20236353,Paturages,7340,€80000,house,,2,130 m²,75 m²,1,0,,9 m²,,2,,To renovate
20236351,Septon,6940,€975000,villa,,6,4790 m²,359 m²,1,,,56 m²,4590 m²,4,1,Just renovated
20236337,Mons,7000,€245000,house,,5,106 m²,200 m²,1,,,,,2,,As new
20236336,Verviers,4801,€215000,house,,2,150 m²,153 m²,1,,,15 m²,72 m²,2,,To be done up
20236321,Oostakker,9041,€250000,house,,2,801 m²,121 m²,1,0,,,,4,,To renovate
20236317,Sint-amandsberg,9040,€349000,house,,2,170 m²,120 m²,1,0,,,,2,,Good
20236318,Sint-amandsberg,9040,€264000,house,,2,50 m²,84 m²,1,0,,6 m²,,,,As new
20236328,Dilbeek,1700,€565000,house,,3,525 m²,213 m²,1,0,,,,4,0,
20236320,Sint-amandsberg,9040,€250000,house,,2,801 m²,121 m²,1,0,,,,4,,To renovate
20236329,Wetteren,9230,€439000,house,,4,253 m²,201 m²,1,,,,,3,,Good
20085462,Lauwe,8930,€299000,house,,4,286 m²,189 m²,1,,,,,,,Just renovated
20236333,Eeklo,9900,€189000,exceptional-property,,3,91 m²,,1,0,,,,2,,
20236316,Biez,1390,€545000,house,,3,1519 m²,112 m²,1,,,,,4,,Just renovated
20236312,Dilbeek%20groot-bijgaarden,1702,€535000,town-house,,4,212 m²,180 m²,1,0,,,,3,0,Just renovated
20234084,Watermael-boitsfort,1170,€550000,apartment,,4,,143 m²,1,0,,18 m²,,2,0,Good
20236359,Temse,9140,€265000,apartment,,1,,80 m²,1,0,,9 m²,,3,0,Good
20236362,Jette,1090,€169000,apartment,,1,,74 m²,1,,,7 m²,,4,,
20236289,Antwerpen-2018,2018,€375000,apartment,,2,,100 m²,1,,,20 m²,,,,Good
20233894,Deinze,9800,,new-real-estate-project-houses,,,,,1,,,,,,,
20236298,Hoboken,2660,€249900,apartment,,2,,97 m²,1,,,3 m²,,2,,As new
20236314,Ieper,8900,€398000,house,,5,309 m²,290 m²,1,,,,,,,Good
20236311,Woluwe-saint-lambert,1200,€130000,service-flat,,1,,41 m²,1,0,,,,2,,Good
20236358,Temse,9140,€290000,apartment,,2,,83 m²,1,0,,22 m²,84 m²,3,0,Good
20236360,Temse,9140,€259000,apartment,,2,,77 m²,1,0,,14 m²,,3,0,Good
11406077,Erpe-mere,9420,€165000,house,,4,305 m²,140 m²,1,,,,152 m²,3,,To renovate
20089427,Tournai,7500,€285000,house,,4,,229 m²,1,,,,,,,
20236353,Paturages,7340,€80000,house,,2,130 m²,75 m²,1,0,,9 m²,,2,,To renovate
20236351,Septon,6940,€975000,villa,,6,4790 m²,359 m²,1,,,56 m²,4590 m²,4,1,Just renovated
20236354,Bissegem,8501,€338990,house,,3,336 m²,207 m²,1,,,,,2,,As new
20236357,Temse,9140,€398000,apartment,,3,,128 m²,1,0,,23 m²,,3,0,Good
20101550,Blaugies,7370,€120000,house,,2,609 m²,155 m²,1,,,,,4,,To renovate
20236346,Colfontaine,7340,€110000,house,,5,,180 m²,1,0,,70 m²,,2,,To renovate
20236342,Malonne,5020,,house,,,,,1,,,,,,,
20236336,Verviers,4801,€215000,house,,2,150 m²,153 m²,1,,,15 m²,72 m²,2,,To be done up
20236328,Dilbeek,1700,€565000,house,,3,525 m²,213 m²,1,0,,,,4,0,
20236329,Wetteren,9230,€439000,house,,4,253 m²,201 m²,1,,,,,3,,Good
20085462,Lauwe,8930,€299000,house,,4,286 m²,189 m²,1,,,,,,,Just renovated
20236333,Eeklo,9900,€189000,exceptional-property,,3,91 m²,,1,0,,,,2,,
20236337,Mons,7000,€245000,house,,5,106 m²,200 m²,1,,,,,2,,As new
20236343,Vorselaar,2290,€345000,house,,4,498 m²,164 m²,1,0,,,,4,0,
20236341,Wommelgem,2160,€449000,house,,4,510 m²,207 m²,1,,,,168 m²,3,,To renovate
20236321,Oostakker,9041,€250000,house,,2,801 m²,121 m²,1,0,,,,4,,To renovate
20236318,Sint-amandsberg,9040,€264000,house,,2,50 m²,84 m²,1,0,,6 m²,,,,As new
20236312,Dilbeek%20groot-bijgaarden,1702,€535000,town-house,,4,212 m²,180 m²,1,0,,,,3,0,Just renovated
20236289,Antwerpen-2018,2018,€375000,apartment,,2,,100 m²,1,,,20 m²,,,,Good
20236298,Hoboken,2660,€249900,apartment,,2,,97 m²,1,,,3 m²,,2,,As new
20236314,Ieper,8900,€398000,house,,5,309 m²,290 m²,1,,,,,,,Good
20236311,Woluwe-saint-lambert,1200,€130000,service-flat,,1,,41 m²,1,0,,,,2,,Good
20236316,Biez,1390,€545000,house,,3,1519 m²,112 m²,1,,,,,4,,Just renovated
